:	direct	ch.qos.logback:logback-classic:1.5.21	dev
:	direct	ch.qos.logback:logback-classic:1.5.21	prod
:	direct	io.ktor:ktor-bom:3.5.2	dev
:	direct	io.ktor:ktor-bom:3.5.2	prod
:	direct	io.ktor:ktor-server-call-logging:3.5.2	dev
:	direct	io.ktor:ktor-server-call-logging:3.5.2	prod
:	direct	io.ktor:ktor-server-core-jvm:3.5.2	dev
:	direct	io.ktor:ktor-server-core-jvm:3.5.2	prod
:	direct	io.ktor:ktor-server-default-headers:3.5.2	dev
:	direct	io.ktor:ktor-server-default-headers:3.5.2	prod
:	direct	io.ktor:ktor-server-html-builder:3.5.2	dev
:	direct	io.ktor:ktor-server-html-builder:3.5.2	prod
:	direct	io.ktor:ktor-server-netty-jvm:3.5.2	dev
:	direct	io.ktor:ktor-server-netty-jvm:3.5.2	prod
:	direct	io.ktor:ktor-server-test-host-jvm:3.5.2	dev
:	direct	org.jetbrains.kotlin:kotlin-stdlib:2.4.10	dev
:	direct	org.jetbrains.kotlin:kotlin-stdlib:2.4.10	prod
:	direct	org.jetbrains.kotlin:kotlin-test-junit:2.4.10	dev
:	transitive	ch.qos.logback:logback-core:1.5.21	dev
:	transitive	ch.qos.logback:logback-core:1.5.21	prod
:	transitive	com.typesafe:config:1.4.9	dev
:	transitive	com.typesafe:config:1.4.9	prod
:	transitive	io.ktor:ktor-client-apache5-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-client-apache5:3.5.2	dev
:	transitive	io.ktor:ktor-client-cio-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-client-cio:3.5.2	dev
:	transitive	io.ktor:ktor-client-core-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-client-core:3.5.2	dev
:	transitive	io.ktor:ktor-events-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-events-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-events:3.5.2	dev
:	transitive	io.ktor:ktor-events:3.5.2	prod
:	transitive	io.ktor:ktor-http-cio-jvm:3.5.2	dev
:	transitive	io.ktor:ktor-http-cio-jvm:3.5.2	prod
:	transitive	io.ktor:ktor-http-cio:3.5.2	dev
