:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-core:1.11.0
:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-json-io-jvm:1.11.0
:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-json-io-wasm-js:1.11.0
:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-json-io:1.11.0
:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-json-jvm:1.11.0
:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-json-wasm-js:1.11.0
:m03	transitive	org.jetbrains.kotlinx:kotlinx-serialization-json:1.11.0
:m03	transitive	org.jetbrains:annotations:23.0.0
:m03	transitive	org.slf4j:slf4j-api:2.0.18
:m04	direct	io.ktor:ktor-resources:3.5.1
:m04	direct	org.jetbrains.kotlin:kotlin-dom-api-compat:2.4.10
:m04	direct	org.jetbrains.kotlin:kotlin-stdlib:2.4.10
:m04	direct	org.jetbrains.kotlin:kotlin-test:2.4.10
:m04	direct	org.jetbrains.kotlinx:kotlinx-datetime:0.8.0
:m04	direct	org.jetbrains.kotlinx:kotlinx-serialization-json:1.11.0
:m04	transitive	io.ktor:ktor-http-iosarm64:3.5.1
:m04	transitive	io.ktor:ktor-http-iossimulatorarm64:3.5.1
:m04	transitive	io.ktor:ktor-http-js:3.5.1
:m04	transitive	io.ktor:ktor-http-jvm:3.5.1
:m04	transitive	io.ktor:ktor-http-wasm-js:3.5.1
:m04	transitive	io.ktor:ktor-http:3.5.1
:m04	transitive	io.ktor:ktor-io-iosarm64:3.5.1
:m04	transitive	io.ktor:ktor-io-iossimulatorarm64:3.5.1
:m04	transitive	io.ktor:ktor-io-js:3.5.1
:m04	transitive	io.ktor:ktor-io-jvm:3.5.1
:m04	transitive	io.ktor:ktor-io-wasm-js:3.5.1
:m04	transitive	io.ktor:ktor-io:3.5.1
:m04	transitive	io.ktor:ktor-resources-iosarm64:3.5.1
:m04	transitive	io.ktor:ktor-resources-iossimulatorarm64:3.5.1
:m04	transitive	io.ktor:ktor-resources-js:3.5.1
:m04	transitive	io.ktor:ktor-resources-jvm:3.5.1
:m04	transitive	io.ktor:ktor-resources-wasm-js:3.5.1
:m04	transitive	io.ktor:ktor-utils-iosarm64:3.5.1
:m04	transitive	io.ktor:ktor-utils-iossimulatorarm64:3.5.1
:m04	transitive	io.ktor:ktor-utils-js:3.5.1
:m04	transitive	io.ktor:ktor-utils-jvm:3.5.1
:m04	transitive	io.ktor:ktor-utils-wasm-js:3.5.1
:m04	transitive	io.ktor:ktor-utils:3.5.1
:m04	transitive	junit:junit:4.13.2
:m04	transitive	org.hamcrest:hamcrest-core:1.3
:m04	transitive	org.jetbrains.kotlin:kotlin-stdlib-common:2.4.10
:m04	transitive	org.jetbrains.kotlin:kotlin-stdlib-js:2.4.10
