:	direct	com.github.ben-manes.caffeine:caffeine:3.2.4	dev
:	direct	com.github.ben-manes.caffeine:caffeine:3.2.4	prod
:	direct	com.h2database:h2:2.4.240	dev
:	direct	com.h2database:h2:2.4.240	prod
:	direct	com.mysql:mysql-connector-j:9.7.0	dev
:	direct	com.mysql:mysql-connector-j:9.7.0	prod
:	direct	jakarta.xml.bind:jakarta.xml.bind-api:4.0.5	dev
:	direct	jakarta.xml.bind:jakarta.xml.bind-api:4.0.5	prod
:	direct	javax.cache:cache-api:1.1.1	dev
:	direct	javax.cache:cache-api:1.1.1	prod
:	direct	org.junit.platform:junit-platform-launcher:6.0.3	dev
:	direct	org.postgresql:postgresql:42.7.11	dev
:	direct	org.postgresql:postgresql:42.7.11	prod
:	direct	org.springframework.boot:spring-boot-dependencies:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-devtools:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-docker-compose:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-actuator:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-actuator:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-starter-cache:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-cache:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-starter-data-jpa-test:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-data-jpa:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-data-jpa:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-starter-restclient-test:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-thymeleaf:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-thymeleaf:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-starter-validation:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-validation:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-starter-webmvc-test:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-webmvc:4.1.0	dev
:	direct	org.springframework.boot:spring-boot-starter-webmvc:4.1.0	prod
:	direct	org.springframework.boot:spring-boot-testcontainers:4.1.0	dev
:	direct	org.testcontainers:testcontainers-junit-jupiter:2.0.5	dev
:	direct	org.testcontainers:testcontainers-mysql:2.0.5	dev
:	direct	org.webjars.npm:bootstrap:5.3.8	dev
:	direct	org.webjars.npm:bootstrap:5.3.8	prod
:	direct	org.webjars.npm:font-awesome:4.7.0	dev
:	direct	org.webjars.npm:font-awesome:4.7.0	prod
:	direct	org.webjars:webjars-locator-lite:1.1.3	dev
:	direct	org.webjars:webjars-locator-lite:1.1.3	prod
:	transitive	biz.aQute.bnd:biz.aQute.bnd.annotation:7.1.0	dev
:	transitive	biz.aQute.bnd:biz.aQute.bnd.annotation:7.1.0	prod
:	transitive	ch.qos.logback:logback-classic:1.5.34	dev
:	transitive	ch.qos.logback:logback-classic:1.5.34	prod
:	transitive	ch.qos.logback:logback-core:1.5.34	dev
:	transitive	ch.qos.logback:logback-core:1.5.34	prod
:	transitive	com.fasterxml.jackson.core:jackson-annotations:2.21	dev
:	transitive	com.fasterxml.jackson.core:jackson-annotations:2.21	prod
:	transitive	com.fasterxml:classmate:1.7.3	dev
:	transitive	com.fasterxml:classmate:1.7.3	prod
:	transitive	com.github.docker-java:docker-java-api:3.7.1	dev
:	transitive	com.github.docker-java:docker-java-transport-zerodep:3.7.1	dev
:	transitive	com.github.docker-java:docker-java-transport:3.7.1	dev
:	transitive	com.google.errorprone:error_prone_annotations:2.38.0	dev
:	transitive	com.google.errorprone:error_prone_annotations:2.38.0	prod
:	transitive	com.google.errorprone:error_prone_annotations:2.49.0	dev
:	transitive	com.google.errorprone:error_prone_annotations:2.49.0	prod
:	transitive	com.jayway.jsonpath:json-path:2.10.0	dev
:	transitive	com.sun.istack:istack-commons-runtime:4.1.2	dev
:	transitive	com.sun.istack:istack-commons-runtime:4.1.2	prod
:	transitive	com.vaadin.external.google:android-json:0.0.20131108.vaadin1	dev
:	transitive	com.zaxxer:HikariCP:7.0.2	dev
:	transitive	com.zaxxer:HikariCP:7.0.2	prod
:	transitive	commons-codec:commons-codec:1.21.0	dev
:	transitive	commons-io:commons-io:2.20.0	dev
:	transitive	commons-logging:commons-logging:1.3.6	dev
